date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-08,PRNT,DESKTOP METAL INC-A,DM,25058X105,2500387,11526784.07,4.12
2022-04-08,PRNT,VELO3D INC,VLD,92259N104,1607776,10948954.56,3.91
2022-04-08,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,170595,10474533.00,3.74
2022-04-08,PRNT,TRIMBLE INC,TRMB,896239100,140782,10224996.66,3.65
2022-04-08,PRNT,MICROSOFT CORP,MSFT,594918104,33897,10215538.89,3.65
2022-04-08,PRNT,HP INC,HPQ,40434L105,248023,9935801.38,3.55
2022-04-08,PRNT,ANSYS INC,ANSS,03662Q105,30681,9545165.91,3.41
2022-04-08,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,195550,9262447.13,3.31
2022-04-08,PRNT,PTC INC,PTC,69370C100,88321,9185384.00,3.28
2022-04-08,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,476390,9041882.20,3.23
2022-04-08,PRNT,STRATASYS LTD,SSYS,M85548101,395167,9009807.60,3.22
2022-04-08,PRNT,PROTO LABS INC,PRLB,743713109,177768,8938175.04,3.19
2022-04-08,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,180147,8919077.97,3.19
2022-04-08,PRNT,SLM SOLUTIONS GROUP AG,AM3D,BMHTHK2,600065,8859888.77,3.17
2022-04-08,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,2681040,8632948.80,3.08
2022-04-08,PRNT,AUTODESK INC,ADSK,052769106,41707,8540342.39,3.05
2022-04-08,PRNT,ATLANTIC COASTAL ACQUISITI-A,ACAH,048453104,865068,8460365.04,3.02
2022-04-08,PRNT,CONFORMIS INC,CFMS,20717E101,13033628,7963546.71,2.85
2022-04-08,PRNT,STRAUMANN HOLDING AG-REG,STMN,7156832,5178,7429605.57,2.65
2022-04-08,PRNT,BICO GROUP AB,BICO,BKMFJ94,374380,7399557.14,2.64
2022-04-08,PRNT,3D SYSTEMS CORP,DDD,88554D205,463806,7133336.28,2.55
2022-04-08,PRNT,MARKFORGED HOLDING CORP,MKFG,57064N102,1758608,7016845.92,2.51
2022-04-08,PRNT,RENISHAW PLC,RSW,0732358,143086,6940292.07,2.48
2022-04-08,PRNT,XOMETRY INC-A,XMTR,98423F109,173264,6235771.36,2.23
2022-04-08,PRNT,FATHOM DIGITAL MANUFACTURING,FATH,31189Y103,886752,5719550.40,2.04
2022-04-08,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,373226,5319542.99,1.90
2022-04-08,PRNT,AMETEK INC,AME,031100100,37108,4909388.40,1.75
2022-04-08,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,10346,4367874.28,1.56
2022-04-08,PRNT,MOOG INC-CLASS A,MOG/A,615394202,46282,4085774.96,1.46
2022-04-08,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,28037,3658267.76,1.31
2022-04-08,PRNT,AEROJET ROCKETDYNE HOLDINGS,AJRD,007800105,82739,3568533.07,1.28
2022-04-08,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,17934,3455881.80,1.23
2022-04-08,PRNT,SHAPEWAYS HOLDINGS INC,SHPW,81947T102,1367451,3350254.95,1.20
2022-04-08,PRNT,EXCO TECHNOLOGIES LTD,XTC,2325392,465377,3364527.45,1.20
2022-04-08,PRNT,KAISER ALUMINUM CORP,KALU,483007704,36199,3304244.72,1.18
2022-04-08,PRNT,GENERAL ELECTRIC CO,GE,369604301,36935,3304205.10,1.18
2022-04-08,PRNT,ARCONIC CORP,ARNC,03966V107,113307,2850804.12,1.02
2022-04-08,PRNT,SIEMENS AG-REG,SIE,5727973,21829,2752150.95,0.98
2022-04-08,PRNT,MICHELIN (CGDE),ML,4588364,21051,2657266.76,0.95
2022-04-08,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,355288,2585987.05,0.92
2022-04-08,PRNT,MASSIVIT 3D PRINTING TECHNOL,MSVT,BN10861,345461,1575451.37,0.56
2022-04-08,PRNT,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,1434003,1434003.19,0.51
2022-04-08,PRNT,EASTMAN KODAK CO,KODK,277461406,81536,549552.64,0.20
2022-04-08,PRNT,ALLEGHENY TECHNOLOGIES INC,ATI,01741R102,16821,465437.07,0.17
2022-04-08,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,11368,460858.72,0.16
2022-04-08,PRNT,HEXCEL CORP,HXL,428291108,6224,344747.36,0.12
2022-04-08,PRNT,5N PLUS INC,VNP,B2B3VZ3,178098,335339.84,0.12
2022-04-08,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,4309,300380.39,0.11
2022-04-08,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,2792,298632.32,0.11
2022-04-08,PRNT,PYROGENESIS CANADA INC,PYR,B43JTF9,134107,295127.03,0.11
2022-04-08,PRNT,KONINKLIJKE DSM NV,DSM,B0HZL93,1679,296825.66,0.11
2022-04-08,PRNT,XEROX HOLDINGS CORP,XRX,98421M106,15193,294440.34,0.11
2022-04-08,PRNT,3M CO,MMM,88579Y101,1972,295701.40,0.11
2022-04-08,PRNT,TORAY INDUSTRIES INC,3402,6897143,53925,267765.22,0.10
2022-04-08,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,10299,272885.71,0.10
2022-04-08,PRNT,SANDVIK AB,SAND,B1VQ252,12591,256843.76,0.09
2022-04-08,PRNT,ARKEMA,AKE,B0Z5YZ2,2274,263806.25,0.09
2022-04-08,PRNT,SGL CARBON SE,SGL,4818351,43948,242257.53,0.09
2022-04-08,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,3880,251509.21,0.09
2022-04-08,PRNT,VOESTALPINE AG,VOE,4943402,9001,234676.79,0.08
2022-04-08,PRNT,GREAT BRITISH POUND,,GBP,0,0.31,0.00
